Name,Genres,Episodes,Score,Cluster
DearS,"Comedy, Romance, Sci-Fi, Ecchi",12.0,6.56,4
Rozen Maiden,"Action, Comedy, Drama",12.0,7.41,4
Rozen Maiden: Träumend,"Action, Comedy, Drama",12.0,7.62,4
Azumanga Daiou The Animation,"Comedy, Slice of Life",26.0,7.99,4
Basilisk: Kouga Ninpou Chou,"Action, Drama, Romance",24.0,7.55,3
Black Cat (TV),"Action, Adventure, Sci-Fi",23.0,7.33,4
Cluster Edge,"Action, Fantasy, Sci-Fi",25.0,6.31,4
Full Metal Panic!,"Action, Comedy, Sci-Fi",24.0,7.61,4
Full Metal Panic? Fumoffu,"Action, Comedy",12.0,8.03,4
Full Metal Panic! The Second Raid,Action,13.0,7.93,4
Gakuen Alice,"Comedy, Fantasy",26.0,7.64,4
Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",25.0,7.26,3
Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",13.0,7.41,4
Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",13.0,7.97,4
Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",24.0,7.03,4
Kidou Senshi Gundam,"Action, Drama, Sci-Fi",43.0,7.76,3
Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",12.0,8.01,3
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",6.0,7.96,4
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",1.0,6.76,4
Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",13.0,7.24,3
Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",50.0,7.9,4
Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",47.0,6.68,4
Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",1.0,7.66,4
Kidou Senshi Gundam F91,"Drama, Sci-Fi",1.0,6.62,4
Kidou Senshi Victory Gundam,"Drama, Sci-Fi",51.0,6.77,4
Shin Kidou Senki Gundam Wing,"Action, Drama, Sci-Fi",49.0,7.69,3
Shin Kidou Senki Gundam Wing: Endless Waltz,"Action, Award Winning, Drama, Sci-Fi",3.0,7.74,3
Kidou Shinseiki Gundam X,"Adventure, Drama, Sci-Fi",39.0,7.34,4
Kidou Senshi Gundam SEED,"Action, Award Winning, Drama, Romance, Sci-Fi",50.0,7.75,3
Kidou Senshi Gundam SEED Destiny,"Action, Drama, Romance, Sci-Fi",50.0,7.18,4
Turn A Gundam,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",50.0,7.74,3
Kidou Butouden G Gundam,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",49.0,7.57,3
Last Exile,"Action, Adventure, Sci-Fi",26.0,7.79,4
Mai-HiME,"Action, Fantasy, Girls Love",26.0,7.42,4
Mai-Otome,"Comedy, Drama, Fantasy",26.0,7.28,3
Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Romance",13.0,7.16,4
Air,"Drama, Romance, Supernatural",12.0,7.28,3
Aishiteruze Baby★★,"Comedy, Drama, Romance",26.0,7.44,3
Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",74.0,7.49,4
Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",24.0,7.18,4
Boys Be...,"Comedy, Romance, Slice of Life",13.0,6.4,4
Hana yori Dango,"Drama, Romance",51.0,7.61,4
Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",13.0,7.19,4
Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",3.0,7.25,4
Bakuretsu Tenshi,"Adventure, Comedy, Sci-Fi",24.0,6.79,4
Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",52.0,7.58,3
Corrector Yui,"Adventure, Comedy, Sci-Fi",52.0,6.97,4
Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",8.0,4.82,4
Uchuu no Stellvia,"Action, Romance, Sci-Fi",26.0,7.37,4
Sakigake!! Cromartie Koukou,Comedy,26.0,7.9,4
El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",13.0,6.79,4
El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",26.0,6.93,4
El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",7.0,7.26,4
El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",4.0,6.78,4
Final Approach,"Comedy, Drama, Romance",13.0,6.52,3
Fruits Basket,"Drama, Romance, Supernatural",26.0,7.69,3
Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",51.0,8.11,3
Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",52.0,7.94,3
Fushigi Yuugi,"Adventure, Fantasy, Romance",52.0,7.61,3
Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",4.0,6.82,4
Futakoi,"Comedy, Romance",13.0,6.44,4
Futakoi Alternative,"Comedy, Drama, Romance",13.0,6.86,3
Gate Keepers,"Action, Comedy, Fantasy, Sci-Fi",24.0,6.92,4
Gate Keepers 21,"Action, Drama, Sci-Fi",6.0,6.74,3
Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Drama, Supernatural",50.0,7.55,2
Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",25.0,7.37,2
Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",26.0,7.37,2
GetBackers,"Action, Mystery, Supernatural",49.0,7.58,3
Green Green,"Comedy, Romance, Ecchi",12.0,6.15,1
Gunslinger Girl,"Action, Drama, Sci-Fi",13.0,7.39,3
Hikaru no Go,"Comedy, Drama, Supernatural",75.0,8.08,3
Hunter x Hunter,"Action, Adventure, Fantasy",62.0,8.41,4
Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",8.0,8.31,4
Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",8.0,8.18,4
Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",14.0,8.25,4
Jinki:Extend,Sci-Fi,12.0,6.1,4
Kamikaze Kaitou Jeanne,"Action, Drama, Mystery, Romance, Supernatural",44.0,7.46,3
Kannazuki no Miko,"Drama, Girls Love, Romance, Supernatural",12.0,6.81,4
Kanon,"Drama, Romance, Supernatural",13.0,7.07,3
Kareshi Kanojo no Jijou,"Comedy, Drama, Romance",26.0,7.59,3
Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Romance, Sci-Fi, Ecchi",12.0,6.71,4
Kimi ga Nozomu Eien,"Drama, Romance",14.0,7.18,4
Kita e.: Diamond Dust Drops,"Drama, Romance",12.0,6.56,4
Loveless,"Action, Boys Love, Drama, Mystery, Supernatural",12.0,6.76,4
Blood+,"Action, Drama, Horror, Mystery, Supernatural",50.0,7.62,3
Re: Cutey Honey,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",3.0,7.1,4
Solty Rei,"Action, Sci-Fi",24.0,7.27,4
Juuni Kokuki,"Action, Adventure, Fantasy",45.0,8.02,4
Shaman King,"Action, Adventure, Comedy, Supernatural",64.0,7.75,3
X/1999,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",1.0,6.57,4
X,"Action, Drama, Fantasy, Romance",24.0,7.4,4
Mahou Sensei Negima!,"Comedy, Fantasy, Romance, Supernatural, Ecchi",26.0,6.94,4
Maria-sama ga Miteru,"Drama, Girls Love",13.0,7.29,3
Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",24.0,6.28,4
"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Sci-Fi",13.0,7.61,4
Peace Maker Kurogane,"Action, Comedy",24.0,7.3,4
Pita Ten,"Comedy, Fantasy, Romance",26.0,6.93,4
Power Stone,"Adventure, Comedy, Fantasy",26.0,6.55,4
Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",1.0,8.67,3
RahXephon,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",26.0,7.39,4
Samurai 7,Sci-Fi,26.0,7.44,4
Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",24.0,7.38,4
s.CRY.ed,"Action, Adventure, Drama, Sci-Fi",26.0,7.36,4
Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural",12.0,6.82,4
Slam Dunk,Sports,101.0,8.54,3
Strange Dawn,"Adventure, Drama, Fantasy",13.0,6.32,4
Tactics,"Mystery, Supernatural",25.0,7.2,4
Tenjou Tenge,"Action, Comedy, Ecchi",24.0,6.88,4
Tokyo Underground,"Action, Adventure, Romance, Sci-Fi",26.0,6.59,4
Triangle Heart: Sweet Songs Forever,"Adventure, Romance",4.0,6.09,4
Tsubasa Chronicle,"Action, Adventure, Fantasy, Romance",26.0,7.52,4
Ultra Maniac,"Comedy, Romance",26.0,7.16,4
Ultra Maniac OVA,"Comedy, Romance",1.0,6.62,4
Vandread,"Action, Sci-Fi, Ecchi",13.0,7.17,4
Vandread: The Second Stage,"Action, Sci-Fi, Ecchi",13.0,7.39,4
Tenkuu no Escaflowne,"Adventure, Fantasy, Romance",26.0,7.67,3
Whistle!,Sports,39.0,7.39,3
Xenosaga The Animation,"Action, Sci-Fi",12.0,6.32,4
Initial D First Stage,"Action, Drama",26.0,8.33,4
Initial D Second Stage,"Action, Drama",13.0,8.16,4
Initial D Third Stage,"Action, Drama, Romance",1.0,7.9,3
Gosenzo San'e,"Comedy, Mystery, Supernatural, Hentai",4.0,6.03,4
Love Hina,"Comedy, Romance, Ecchi",24.0,7.1,1
Love Hina Again,"Comedy, Drama, Romance, Ecchi",3.0,7.21,4
Love Hina Christmas Special: Silent Eve,"Comedy, Romance",1.0,7.31,4
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",1.0,7.18,4
Maburaho,"Comedy, Drama, Romance, Ecchi",24.0,6.74,4
Macross Zero,"Action, Adventure, Sci-Fi",5.0,7.51,4
Onegai☆Teacher,"Drama, Romance, Sci-Fi",12.0,7.11,4
Onegai☆Twins,"Comedy, Drama, Sci-Fi",12.0,6.82,4
Rizelmine,"Comedy, Romance, Sci-Fi, Ecchi",24.0,6.51,4
Speed Grapher,"Action, Mystery",24.0,7.31,4
Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Supernatural",1.0,8.78,3
Tenshi na Konamaiki,"Comedy, Romance",50.0,7.43,4
Video Girl Ai,"Comedy, Drama, Romance, Ecchi",6.0,7.2,4
Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",26.0,7.8,3
Words Worth,"Adventure, Fantasy, Hentai",5.0,6.72,4
Yumeria,"Action, Comedy, Ecchi",12.0,6.08,4
Samurai Champloo,"Action, Adventure, Comedy",26.0,8.51,4
Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Fantasy, Romance",27.0,7.13,3
Lodoss-tou Senki,"Action, Adventure, Fantasy",13.0,7.36,4
R.O.D: Read or Die,"Action, Adventure, Mystery, Sci-Fi",3.0,7.63,4
R.O.D: The TV,"Action, Adventure, Comedy, Drama, Sci-Fi",26.0,7.53,4
Ranma ½,"Action, Comedy, Fantasy",161.0,7.76,4
Pure Mail,Hentai,2.0,6.17,4
Project A-Ko,"Action, Adventure, Comedy, Sci-Fi",1.0,6.85,4
Pia Carrot e Youkoso!!,"Comedy, Hentai",3.0,5.94,4
Pia Carrot e Youkoso!! 2,"Comedy, Romance, Hentai",3.0,6.07,4
Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance",6.0,6.19,4
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",1.0,5.81,4
Shin Angel,"Comedy, Drama, Romance, Hentai",5.0,6.17,4
Kidou Senkan Nadesico,"Action, Romance, Sci-Fi",26.0,7.49,4
Kidou Senkan Nadesico: The Prince of Darkness,"Action, Award Winning, Drama, Sci-Fi",1.0,6.73,3
Kuro no Danshou,"Horror, Hentai",4.0,5.62,4
Mezzo Forte,"Action, Comedy, Sci-Fi, Hentai",2.0,6.62,4
Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",13.0,6.65,4
Dragon Ball,"Action, Adventure, Comedy, Fantasy",153.0,7.96,4
Dragon Ball GT,"Action, Adventure, Comedy, Fantasy",64.0,6.48,4
Elfen Lied,"Action, Drama, Horror, Romance, Supernatural",13.0,7.48,4
FLCL,"Action, Avant Garde, Comedy, Sci-Fi",6.0,8.03,3
Jigoku Shoujo,"Horror, Mystery, Supernatural",26.0,7.61,3
Ninin ga Shinobuden,Comedy,12.0,6.89,4
Air Master,"Action, Comedy",27.0,6.97,4
Asagiri no Miko,"Action, Comedy, Fantasy, Supernatural",26.0,6.1,4
Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Romance",70.0,8.16,3
Daa! Daa! Daa!,"Comedy, Sci-Fi",78.0,7.66,4
Dan Doh!!,"Adventure, Sports",26.0,6.63,4
E's Otherwise,"Adventure, Comedy, Drama, Sci-Fi, Supernatural",26.0,6.59,4
Koukyoushihen Eureka Seven,"Adventure, Drama, Romance, Sci-Fi",50.0,8.06,3
Rekka no Honoo,"Action, Adventure",42.0,7.34,4
Gankutsuou,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",24.0,8.14,3
Genshiken,"Comedy, Slice of Life",12.0,7.63,4
Girls Bravo: First Season,"Comedy, Fantasy, Romance, Ecchi",11.0,6.38,4
Gokusen,"Comedy, Drama, Slice of Life",13.0,7.41,3
Gravitation,"Boys Love, Comedy",13.0,6.93,4
Agatha Christie no Meitantei Poirot to Marple,Mystery,39.0,6.83,4
Great Teacher Onizuka,Comedy,43.0,8.69,4
Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance",51.0,7.22,4
Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy, Romance",26.0,7.0,4
Ichigo 100%,"Comedy, Romance, Ecchi",12.0,6.63,1
InuYasha,"Action, Adventure, Fantasy, Romance",167.0,7.86,4
Konjiki no Gash Bell!!,"Adventure, Comedy, Supernatural",150.0,7.54,4
Kyou kara Maou!,"Adventure, Comedy, Fantasy",78.0,7.63,4
Madlax,"Drama, Mystery, Supernatural",26.0,7.03,4
Jungle wa Itsumo Hare nochi Guu,"Comedy, Slice of Life",26.0,7.81,4
Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",6.0,7.79,4
Jungle wa Itsumo Hare nochi Guu Final,"Award Winning, Comedy, Slice of Life",7.0,7.62,4
Hoshi no Koe,"Award Winning, Drama, Romance, Sci-Fi",1.0,7.12,3
Ikkitousen,Ecchi,13.0,6.39,4
Hitsuji no Uta,"Drama, Horror",4.0,6.15,4
Happy☆Lesson,"Comedy, Romance",5.0,6.6,4
Happy☆Lesson (TV),"Comedy, Drama, Romance",13.0,6.61,3
Happy☆Lesson Advance,"Comedy, Romance",13.0,6.77,4
Happy☆Lesson The Final,"Comedy, Romance",3.0,6.76,4
Hajime no Ippo,Sports,75.0,8.76,3
Hajime no Ippo: Champion Road,Sports,1.0,8.26,3
Hajime no Ippo: Mashiba vs. Kimura,Sports,1.0,8.23,3
Gunparade March: Arata Naru Kougunka,"Action, Drama, Romance, Sci-Fi",12.0,6.73,4
Gungrave,"Action, Drama, Sci-Fi",26.0,7.83,3
Golden Boy,"Adventure, Comedy, Ecchi",6.0,8.04,3
Bleach,"Action, Adventure, Fantasy",366.0,7.92,4
Hellsing,"Action, Horror, Supernatural",13.0,7.49,4
Gad Guard,"Action, Adventure, Sci-Fi",26.0,6.65,4
Noir,"Action, Drama, Mystery",26.0,7.29,4
Mahoutsukai ni Taisetsu na Koto,Slice of Life,12.0,6.71,3
Kiddy Grade,"Action, Sci-Fi, Ecchi",24.0,7.19,4
Love♥Love?,"Comedy, Romance, Ecchi",9.0,5.85,1
Mahoromatic: Automatic Maiden,"Comedy, Romance, Sci-Fi, Ecchi",12.0,7.15,4
Mahoromatic: Motto Utsukushii Mono,"Comedy, Drama, Romance, Sci-Fi, Ecchi",14.0,7.14,4
Viewtiful Joe,"Action, Comedy, Sci-Fi",51.0,6.74,4
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Horror, Mystery, Supernatural",13.0,7.1,3
Animal Yokochou,"Adventure, Comedy, Fantasy",51.0,7.26,4
Akane Maniax,"Comedy, Romance",3.0,5.73,4
Angel Heart,"Action, Drama, Mystery, Romance",50.0,7.25,4
Akage no Anne,Drama,50.0,7.77,4
Area 88 (TV),"Action, Drama, Romance",12.0,7.0,3
Argento Soma,"Action, Adventure, Drama, Sci-Fi",25.0,6.76,4
B'T X,"Adventure, Sci-Fi",25.0,7.03,4
Grappler Baki (TV),Sports,24.0,7.47,3
Bakuten Shoot Beyblade,"Action, Adventure, Comedy, Sports",51.0,6.76,4
Comic Party,"Comedy, Drama",13.0,6.58,4
Seikai no Monshou,"Action, Romance, Sci-Fi",13.0,7.64,4
D.C.S.S: Da Capo Second Season,"Comedy, Drama, Romance, Supernatural",26.0,6.95,3
Dear Boys,"Drama, Sports",26.0,6.78,3
Di Gi Charat,"Comedy, Fantasy, Sci-Fi",16.0,6.8,4
Divergence Eve,"Adventure, Comedy, Drama, Sci-Fi",13.0,6.0,4
Divergence Eve 2: Misaki Chronicles,"Adventure, Drama, Sci-Fi",13.0,6.41,4
Dragon Drive,"Action, Adventure, Comedy, Fantasy, Sci-Fi",38.0,6.69,4
Grenadier: Hohoemi no Senshi,"Action, Adventure, Comedy, Ecchi",12.0,6.69,4
.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy",12.0,6.56,4
.hack//Liminality,Mystery,4.0,6.59,4
3x3 Eyes,"Action, Fantasy, Horror, Romance",4.0,6.71,4
Cinderella Boy,"Action, Adventure, Comedy, Mystery",13.0,6.28,4
Mirai Shounen Conan,"Adventure, Drama, Sci-Fi",26.0,8.1,4
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Supernatural",48.0,6.89,4
Aa! Megami-sama! Movie,"Comedy, Romance, Supernatural",1.0,7.54,4
Abashiri Ikka,"Action, Comedy",4.0,5.28,4
Abenobashi Mahou☆Shoutengai,"Award Winning, Comedy, Fantasy, Ecchi",13.0,7.23,4
Kerokko Demetan,"Comedy, Fantasy",39.0,6.02,4
Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi",26.0,6.85,4
Akahori Gedou Hour Rabuge,Comedy,13.0,6.13,4
"Chiisana Obake: Acchi, Kocchi, Socchi","Comedy, Supernatural",50.0,5.99,4
Ace wo Nerae!,"Drama, Romance, Sports",26.0,7.11,4
Ace wo Nerae! Final Stage,"Drama, Sports",12.0,6.85,3
Ace wo Nerae! (1979),"Drama, Romance, Sports",1.0,6.93,4
Ace wo Nerae! 2,"Drama, Sports",13.0,7.17,3
Xiao Qian,"Action, Drama, Fantasy, Romance",1.0,6.34,4
Nageki no Kenkou Yuuryouji,"Comedy, Girls Love, Hentai",3.0,6.14,4
Final Fantasy VII: Advent Children,"Action, Fantasy",1.0,7.72,4
Hand Maid May,"Comedy, Romance, Sci-Fi, Ecchi",10.0,6.69,4
Happy World!,"Comedy, Fantasy, Romance, Ecchi",3.0,5.96,4
A Kite,"Action, Drama, Hentai",2.0,6.54,4
Najica Dengeki Sakusen,"Action, Comedy, Sci-Fi, Ecchi",12.0,5.97,4
Paradise Kiss,"Drama, Romance",12.0,7.85,4
Mousou Dairinin,"Avant Garde, Drama, Mystery, Supernatural, Suspense",13.0,7.67,4
Kidou Keisatsu Patlabor: On Television,"Comedy, Sci-Fi",47.0,7.67,4
Peach Girl,"Drama, Romance",25.0,6.94,4
Petshop of Horrors,"Horror, Mystery, Supernatural",4.0,7.24,3
Puchi Pri*Yucie,"Comedy, Fantasy",26.0,7.44,4
Piano (TV),"Drama, Romance, Slice of Life",10.0,5.98,4
Planetes,"Award Winning, Drama, Romance, Sci-Fi",26.0,8.26,3
Midori no Hibi,"Comedy, Drama, Romance, Ecchi",13.0,7.23,4
Mahoujin Guruguru,"Adventure, Comedy, Fantasy",45.0,7.6,4
Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure, Comedy, Fantasy",38.0,7.1,4
Mama wa Shougaku 4 Nensei,"Award Winning, Comedy, Drama, Sci-Fi",51.0,7.41,3
Marmalade Boy,"Comedy, Drama, Romance",76.0,7.44,3
Matantei Loki Ragnarok,"Comedy, Mystery, Supernatural",26.0,7.25,3
Ginyuu Mokushiroku Meine Liebe,Fantasy,13.0,6.43,4
Psychic Academy,"Comedy, Romance, Supernatural",24.0,6.19,4
Versailles no Bara,"Drama, Romance",40.0,8.33,4
Serial Experiments Lain,"Avant Garde, Award Winning, Drama, Mystery, Sci-Fi, Supernatural",13.0,8.08,3
Mutsu Enmei Ryuu Gaiden: Shura no Toki,Action,26.0,7.55,4
Spiral: Suiri no Kizuna,"Drama, Mystery",25.0,7.22,4
Starship Operators,"Drama, Sci-Fi",13.0,7.01,4
Tsukuyomi: Moon Phase,"Comedy, Fantasy, Romance",25.0,6.94,4
Futatsu no Spica,"Drama, Sci-Fi, Supernatural",20.0,7.37,4
Eikoku Koi Monogatari Emma,"Drama, Romance",12.0,7.62,4
W: Wish,"Drama, Romance, Slice of Life",13.0,6.14,4
Wild Arms: Twilight Venom,"Action, Adventure, Fantasy, Sci-Fi",22.0,6.67,4
Binzume Yousei,"Comedy, Fantasy",13.0,6.43,4
Magical Canan,"Drama, Fantasy, Supernatural",13.0,6.16,4
Ojamajo Doremi,"Comedy, Fantasy",51.0,7.29,4
Ojamajo Doremi Sharp,"Comedy, Fantasy",49.0,7.43,4
Motto! Ojamajo Doremi,"Comedy, Fantasy",50.0,7.44,4
Ojamajo Doremi Dokkaan!,"Comedy, Fantasy",51.0,7.72,4
UG☆Ultimate Girls,"Comedy, Sci-Fi, Ecchi",12.0,5.65,4
Shakugan no Shana,"Action, Drama, Fantasy, Romance",24.0,7.45,4
Fate/stay night,"Action, Fantasy, Romance, Supernatural",24.0,7.28,4
Bokusatsu Tenshi Dokuro-chan,"Comedy, Ecchi",4.0,6.54,4
"Iriya no Sora, UFO no Natsu","Drama, Romance, Sci-Fi",6.0,6.93,4
I'll/CKBC,"Action, Sports",2.0,6.19,4
Himiko-den,"Adventure, Drama, Fantasy, Supernatural",12.0,6.17,4
Memories Off,"Drama, Romance",3.0,5.78,4
Memories Off 2nd,"Drama, Romance",3.0,6.14,4
Memories Off 3.5,"Drama, Romance",4.0,6.13,4
Gallery Fake,Mystery,37.0,7.4,4
Fake,"Boys Love, Comedy, Mystery, Romance",1.0,6.5,4
AIKa,"Action, Adventure, Comedy, Sci-Fi, Ecchi",7.0,5.93,4
Akazukin Chacha OVA,"Comedy, Fantasy",3.0,7.0,4
Bible Black,Hentai,6.0,6.57,4
Boogiepop wa Warawanai,"Avant Garde, Drama, Horror, Mystery, Supernatural",12.0,7.16,4
Burn Up Excess,"Action, Adventure, Comedy, Mystery, Sci-Fi, Ecchi",13.0,6.57,4
Cardcaptor Sakura Movie 1,"Award Winning, Comedy, Drama, Fantasy",1.0,7.63,4
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Award Winning, Comedy, Drama, Fantasy, Romance",1.0,8.21,3
Bannou Bunka Neko-Musume,"Adventure, Comedy, Sci-Fi",6.0,6.74,4
Bannou Bunka Neko-Musume DASH!,"Action, Comedy, Romance, Sci-Fi, Ecchi",12.0,6.28,4
Bannou Bunka Neko-Musume (1998),"Action, Adventure, Comedy, Sci-Fi",12.0,6.62,4
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer","Drama, Horror, Supernatural, Ecchi",1.0,7.14,4
eX-Driver,"Action, Adventure, Comedy, Sci-Fi",6.0,6.66,4
eX-Driver the Movie,"Action, Adventure, Comedy, Sci-Fi",1.0,6.56,4
Heppoko Jikken Animation Excel♥Saga,"Comedy, Sci-Fi",26.0,7.49,4
Fushigi Yuugi OVA,"Adventure, Fantasy, Romance",3.0,7.14,3
Fushigi Yuugi: Dai Ni Bu,"Adventure, Fantasy, Romance",6.0,7.25,3
Futari Ecchi,"Comedy, Romance, Ecchi",4.0,6.32,1
